insee_code,categorie_terrain,commune_name,median_price_m2,nb_transactions,perc_bare_land
83123,Micro-terrains,SANARY SUR MER,18575.757575757576,7,0.8571428571428571
83123,Terrains Standards,SANARY SUR MER,1503.9411764705883,116,0.45689655172413796
83124,Grands Domaines,SEILLANS,79.10328262610088,3,0.6666666666666666
83124,Micro-terrains,SEILLANS,4548.387096774193,6,0.8333333333333334
83124,Terrains Standards,SEILLANS,1010.0,47,0.6382978723404256
83125,Terrains Standards,SEILLONS-SOURCE-D ARGENS,781.6,21,0.42857142857142855
83126,Micro-terrains,LA SEYNE SUR MER,3828.5714285714284,33,0.45454545454545453
83126,Terrains Standards,LA SEYNE SUR MER,1093.75,265,0.4339622641509434
83127,Grands Domaines,SIGNES,58.8235294117647,6,0.8333333333333334
83127,Micro-terrains,SIGNES,2967.9045092838196,2,0.5
83127,Terrains Standards,SIGNES,403.9788324386121,24,0.5416666666666666
83128,Grands Domaines,SILLANS-LA-CASCADE,0.49782202862476665,3,1.0
83128,Micro-terrains,SILLANS-LA-CASCADE,4073.4011627906975,2,0.5
83128,Terrains Standards,SILLANS-LA-CASCADE,658.5236,20,0.65
83129,Grands Domaines,SIX-FOURS-LES-PLAGES,58.095238095238095,1,1.0
83129,Micro-terrains,SIX-FOURS-LES-PLAGES,25000.0,9,0.8888888888888888
83129,Terrains Standards,SIX-FOURS-LES-PLAGES,1186.1254612546124,192,0.3645833333333333
83130,Micro-terrains,SOLLIES-PONT,15213.709677419354,4,0.75
83130,Terrains Standards,SOLLIES-PONT,1048.888888888889,97,0.4020618556701031
83131,Micro-terrains,SOLLIES-TOUCAS,58.0,5,0.8
83131,Terrains Standards,SOLLIES-TOUCAS,740.9413854351687,44,0.36363636363636365
83132,Micro-terrains,SOLLIES-VILLE,21723.733333333334,2,0.5
83132,Terrains Standards,SOLLIES-VILLE,860.0,13,0.6153846153846154
83133,Terrains Standards,TANNERON,631.3617021276596,18,0.5
83134,Grands Domaines,TARADEAU,85.8212361909979,3,1.0
83134,Micro-terrains,TARADEAU,26857.14285714286,2,0.5
83134,Terrains Standards,TARADEAU,965.2011494252873,27,0.4444444444444444
83135,Micro-terrains,TAVERNES,3142.8571428571427,9,0.5555555555555556
83135,Terrains Standards,TAVERNES,375.2,15,0.4666666666666667
83136,Micro-terrains,LE THORONET,1190.4761904761904,3,1.0
83136,Terrains Standards,LE THORONET,846.15,30,0.5666666666666667
83137,Grands Domaines,TOULON,3.514526710402999,13,0.15384615384615385
83137,Micro-terrains,TOULON,3066.6666666666665,31,0.967741935483871
83137,Terrains Standards,TOULON,1126.0,597,0.48911222780569513
83138,Micro-terrains,TOURRETTES,5757.3,5,0.6
83138,Terrains Standards,TOURRETTES,868.2,27,0.4444444444444444
83139,Micro-terrains,TOURTOUR,17500.0,1,1.0
83139,Terrains Standards,TOURTOUR,550.0,13,0.5384615384615384
83140,Micro-terrains,TOURVES,7074.468085106383,10,0.8
83140,Terrains Standards,TOURVES,824.0,63,0.5873015873015873
83141,Micro-terrains,TRANS-EN-PROVENCE,2347.8260869565215,8,0.375
83141,Terrains Standards,TRANS-EN-PROVENCE,876.0,55,0.5636363636363636
83142,Grands Domaines,TRIGANCE,0.6550218340611353,1,1.0
83142,Micro-terrains,TRIGANCE,757.1428571428571,2,1.0
83142,Terrains Standards,TRIGANCE,15.337423312883436,11,0.9090909090909091
83143,Micro-terrains,LE VAL,2118.0555555555557,4,0.25
83143,Terrains Standards,LE VAL,825.3508771929825,38,0.5263157894736842
83144,Grands Domaines,LA VALETTE DU VAR,2.494601735491745,1,1.0
83144,Micro-terrains,LA VALETTE DU VAR,10291.666666666666,4,1.0
83144,Terrains Standards,LA VALETTE DU VAR,953.1593406593406,56,0.375
83145,Micro-terrains,VARAGES,4769.2307692307695,9,0.5555555555555556
