insee_code;school_name;secteur;ips_score
34082;ECOLE ELEMENTAIRE LES CIGALES;public;135.0
34172;ECOLE ELEMENTAIRE JULES FERRY;public;118.2
34003;ECOLE PRIMAIRE PRIVEE NOTRE DAME;privé sous contrat;118.8
34063;ECOLE ELEMENTAIRE MARCEL PAGNOL;public;104.0
34243;ECOLE PRIMAIRE DU THAURAC;public;110.6
34172;ECOLE ELEMENTAIRE JEAN MOULIN;public;115.5
34172;ECOLE ELEMENTAIRE GEORGES SIMENON;public;92.1
34172;ECOLE ELEMENTAIRE BLAISE PASCAL;public;104.7
34057;ECOLE ELEMENTAIRE SAINT EXUPERY;public;113.9
34123;ECOLE PRIMAIRE FONTCAUDE LUCIE AUBRAC;public;114.5
34172;ECOLE ELEMENTAIRE JOSEPH DELTEIL;public;73.3
34032;ECOLE ELEMENTAIRE EDOUARD HERRIOT;public;69.8
34032;ECOLE ELEMENTAIRE CORDIER;public;73.2
34172;ECOLE PRIMAIRE MICHEL DE L HOSPITAL;public;101.8
34172;ECOLE PRIMAIRE OLYMPE DE GOUGES;public;97.0
34172;ECOLE PRIMAIRE ANDRE MALRAUX;public;117.5
34172;ECOLE PRIMAIRE BENOITE GROULT;public;101.5
34172;CALANDRETA DAU CHIVALET ECOLE PRIMAIRE PRIVE;privé sous contrat;137.4
35058;ECOLE PRIMAIRE PUBLIQUE LE CHEMIN NEUF;public;112.7
35076;ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE;public;113.3
35085;ECOLE ELEMENTAIRE PUBLIQUE DE COMBOURG;public;112.9
35088;ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU;public;113.2
35096;ECOLE PRIMAIRE PUBLIQUE LA GLYCINE;public;105.4
35121;ECOLE PRIMAIRE PUBLIQUE NOMINOE;public;121.0
35123;ECOLE ELEMENTAIRE PUBLIQUE LA MARELLE;public;112.6
35136;ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE;public;109.5
35137;ECOLE PRIMAIRE PUBLIQUE LOUISE MICHEL;public;104.4
35152;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;public;124.6
35211;ECOLE PRIMAIRE PUBLIQUE MARTHE NIEL;public;110.4
35216;ECOLE PRIMAIRE PUBLIQUE LA FONTAINE;public;117.1
35224;ECOLE PRIMAIRE PUBLIQUE LES BADIOUS;public;99.5
35239;ECOLE PRIMAIRE PUBLIQUE EDOUARD MAHE;public;90.3
35284;ECOLE ELEMENTAIRE PUBLIQUE ROBERT LOSSOIS;public;113.0
35288;ECOLE ELEMENTAIRE PUBLIQUE LA NATION;public;113.4
35320;ECOLE PRIMAIRE PUBLIQUE DU MOULIN;public;101.7
35331;ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE;public;115.2
35238;ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO;public;126.5
35238;ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN;public;134.5
35238;ECOLE ELEMENTAIRE PUBLIQUE MOULIN DU COMTE;public;99.1
35361;ECOLE PRIMAIRE PUBLIQUE FRANCIS CHEVALIER;public;94.8
35012;ECOLE PRIMAIRE PUBLIQUE HENRI GUERIN;public;107.1
35049;ECOLE ELEMENTAIRE PUBLIQUE LES TERRE NEUVAS;public;106.5
35226;ECOLE PRIMAIRE PUBLIQUE LES JOURS HEUREUX;public;108.1
35137;ECOLE PRIMAIRE PRIVEE NOTRE DAME DE PONTMAIN;privé sous contrat;102.0
35161;ECOLE PRIMAIRE PRIVEE ST PATERN;privé sous contrat;105.7
35168;ECOLE PRIMAIRE PRIVEE STE MARIE;privé sous contrat;96.9
35018;ECOLE PRIMAIRE PRIVEE STE ANNE;privé sous contrat;99.8
