insee_code;nb_households;nb_inhabitants;consumption_units;median_income;taxable_households_rate;solo_median_income;family_median_income
01411;121.0;267.0;186.6;24340.0;;;
01412;234.0;577.0;384.7;24630.0;;;
01415;198.0;424.0;297.6;23340.0;;;
01416;433.0;890.0;634.8;20410.0;;;
01418;411.0;1139.0;732.2;30620.0;;;
01419;2303.0;5576.0;3727.7;38950.0;-16.7;32850.0;44040.0
01420;788.0;1442.0;1071.8;20430.0;;;
01421;318.0;709.0;487.1;22620.0;;;
01422;566.0;1342.0;909.5;26180.0;;;
01423;435.0;1247.0;778.1;27870.0;;;
01424;658.0;1748.0;1142.5;31610.0;;;
01425;123.0;290.0;197.2;25050.0;;;
01426;1058.0;2484.0;1689.3;24280.0;-15.7;;27820.0
01427;2941.0;6780.0;4602.4;23920.0;-16.0;21840.0;27180.0
01428;44.0;122.0;79.4;23780.0;;;
01429;288.0;729.0;480.0;24170.0;;;
01430;263.0;596.0;407.5;23800.0;;;
01431;532.0;1209.0;830.9;25240.0;;;
01432;150.0;347.0;235.5;23640.0;;;
01433;100.0;260.0;169.4;20450.0;;;
01434;176.0;503.0;314.5;25730.0;;;
01435;798.0;2036.0;1334.3;38970.0;-16.8;;44030.0
01436;197.0;453.0;313.1;45200.0;;;
01437;91.0;217.0;146.0;23090.0;;;
01439;;;;;;;
01441;275.0;694.0;457.3;23450.0;;;
01443;2154.0;4854.0;3334.8;24480.0;-14.7;21890.0;27090.0
01444;536.0;1191.0;829.0;22700.0;;;
01445;246.0;629.0;413.6;23580.0;;;
01446;598.0;1649.0;1056.2;26440.0;;;
01447;566.0;1305.0;887.5;23600.0;;;
01448;155.0;361.0;247.7;30500.0;;;
01449;299.0;774.0;509.0;26020.0;;;
01450;1488.0;3801.0;2499.0;26810.0;-17.0;;28850.0
01451;2762.0;6670.0;4476.0;25470.0;-15.6;23470.0;28750.0
01452;470.0;975.0;693.5;20600.0;;;
01453;312.0;654.0;462.7;22830.0;;;
01454;434.0;1075.0;714.6;24130.0;;;
01456;;;;;;;
01457;1369.0;3143.0;2151.5;22000.0;-13.2;20110.0;23980.0
02001;192.0;479.0;318.2;21150.0;;;
02002;247.0;606.0;407.0;22340.0;;;
02003;421.0;1007.0;683.7;23020.0;;;
02004;78.0;174.0;122.4;20880.0;;;
02005;154.0;401.0;262.1;24020.0;;;
02006;116.0;262.0;182.1;21910.0;;;
02007;45.0;110.0;73.4;22340.0;;;
02008;117.0;305.0;198.8;21950.0;;;
02009;197.0;508.0;331.5;22980.0;;;
02010;64.0;166.0;109.7;21980.0;;;
02011;486.0;1209.0;810.2;24380.0;;;
02012;;;;;;;
02013;151.0;376.0;252.6;23230.0;;;
02014;294.0;721.0;482.6;23040.0;;;
02015;;;;;;;
02016;86.0;220.0;143.3;21900.0;;;
02017;115.0;283.0;186.5;21630.0;;;
02018;1088.0;2442.0;1686.7;20610.0;-13.2;;24910.0
02019;157.0;358.0;247.7;21860.0;;;
02020;180.0;449.0;300.7;19970.0;;;
02021;;;;;;;
02022;165.0;404.0;271.1;23140.0;;;
