insee_code,categorie_terrain,commune_name,median_price_m2,q1_price_m2,q3_price_m2,nb_transactions,perc_bare_land,dispersion_index
63310,Terrains Standards,SAINTE-AGATHE,38.62068965517241,8.24593543217535,410.03276003276005,16,0.9375,10.403408851265139
63312,Grands Domaines,SAINT-ALYRE-D ARLANC,0.16272189349112426,0.1422291181794673,0.8810572687224669,9,1.0,4.540434816064253
63312,Terrains Standards,SAINT-ALYRE-D ARLANC,105.5045871559633,0.7603476915375338,162.66372141372142,11,0.7272727272727273,1.534562411801569
63314,Terrains Standards,SAINT-AMANT-ROCHE-SAVINE,348.6932291666667,1.5542763157894737,348.6932291666667,14,0.6428571428571429,0.995542568120683
63315,Terrains Standards,SAINT-AMANT-TALLENDE,361.9153674832962,313.1572295247725,506.25,15,0.4666666666666667,0.5335301781130901
63317,Terrains Standards,SAINT-ANDRE-LE-COQ,532.563025210084,308.12244812433397,815.6125381186957,8,0.625,0.9529202478789595
63318,Grands Domaines,SAINT-ANGEL,3.744927536231884,1.648529187623838,4.424657534246576,5,1.0,0.7413036219696939
63319,Grands Domaines,SAINT-ANTHEME,6.970991679784124,1.7011583428762225,13.654367654977175,27,1.0,1.71470715519074
63319,Terrains Standards,SAINT-ANTHEME,94.44611508933393,2.422114402451481,326.28446947706874,52,0.8653846153846154,3.4290701609937577
63320,Terrains Standards,SAINT-AVIT,39.568345323741006,25.31047619047619,39.568345323741006,5,0.8,0.3603352380952381
63321,Terrains Standards,SAINT-BABEL,357.94471677559915,3.713832039520113,654.3568778950078,18,0.8333333333333334,1.8177193721883746
63322,Terrains Standards,SAINT-BEAUZIRE,555.608,348.314606741573,872.8070175438596,8,0.375,0.9439972261059716
63323,Terrains Standards,SAINT-BONNET-LE-BOURG,1.742025937609534,0.8775083612040133,15.811314363143634,12,0.75,8.572665698900147
63324,Micro-terrains,SAINT-BONNET-LE-CHASTEL,1300.0,405.0,6528.333333333334,6,0.8333333333333334,4.71025641025641
63324,Terrains Standards,SAINT-BONNET-LE-CHASTEL,16.22641509433962,1.098901098901099,65.3061224489796,29,0.8620689655172413,3.956956664597861
63326,Terrains Standards,SAINT-BONNET-PRES-ORCIVAL,133.98253330380027,48.032564450474894,332.5,14,0.8571428571428571,2.1231680617988173
63327,Micro-terrains,SAINT-BONNET-PRES-RIOM,200.0,76.92307692307692,212.7659574468085,5,1.0,0.679214402618658
63327,Terrains Standards,SAINT-BONNET-PRES-RIOM,605.1873198847262,251.53664302600473,1634.1463414634147,13,0.6153846153846154,2.284597930275149
63331,Terrains Standards,SAINT-CLEMENT-DE-VALORGUE,190.51980198019803,0.5243565505986819,262.7106042162342,8,0.5,1.3761627134846919
63332,Terrains Standards,SAINT-CLEMENT-DE-REGNAT,117.36150770988007,117.36150770988007,328.0,9,0.7777777777777778,1.7947834549878345
63334,Terrains Standards,ST DIER D AUVERGNE,59.13978494623656,31.25,236.57539118065432,12,0.8333333333333334,3.471865705418337
63337,Grands Domaines,SAINT-ELOY-LA-GLACIERE,0.22875647668393784,0.17995076165563934,2.7027027027027026,13,1.0,11.028111542969041
63337,Terrains Standards,SAINT-ELOY-LA-GLACIERE,4.685085269636418,1.1840670423256707,17.819148936170215,24,0.9583333333333334,3.550646559552478
63338,Micro-terrains,SAINT ELOY LES MINES,1001.7281105990784,488.125,1439.3939393939395,8,1.0,0.9496278773938349
63338,Terrains Standards,SAINT ELOY LES MINES,160.91053614795442,43.082646464646466,265.7195535304123,120,0.6333333333333333,1.3836067692985319
63341,Terrains Standards,SAINT-FERREOL-DES-COTES,103.65251727541954,1.1594389950094648,202.55157321089501,10,0.8,1.9429545901018295
63342,Terrains Standards,SAINT-FLORET,2.9175182481751825,1.0101010101010102,23.4375,13,0.9230769230769231,7.687149516177537
