insee_code,commune,median_price_m2,nb_transactions,reliability,Admin_Services,Commerce_Proximite,Divers_Other,Education,Emploi_Employment,Grandes_Surfaces,Practical_Services,Sante_Health,Social_Services,Transport,total_services
01031,BELLIGNAT,2012.135844940426,16,High,2,5,420,4,2,1,52,1,0,1,488
01032,BELIGNEUX,3305,25,High,2,5,387,2,0,0,61,1,0,6,464
01033,VALSERHONE,3360,702,High,81,89,6037,36,6,9,890,13,4,23,7188
01034,BELLEY,1909.090909090909,225,High,83,93,6014,33,12,12,739,11,3,20,7020
01035,BELLEYDOUX,3005.0505050505053,4,Low,1,0,37,0,0,0,2,0,0,0,40
01036,VALROMEY-SUR-SERAN,1716.4179104477612,81,High,1,1,100,0,0,0,17,0,0,1,120
01037,BENONCES,764.7058823529412,1,Low,1,0,28,1,0,0,2,0,0,0,32
01038,BENY,2090.5172413793102,9,Low,1,1,86,1,0,0,15,0,0,0,104
01040,BEREZIAT,1656.4542483660132,4,Low,1,0,60,1,0,0,6,0,0,0,68
01041,BETTANT,1693.5483870967741,25,High,1,0,59,1,0,0,11,0,0,0,72
01043,BEYNOST,3524.590163934426,72,High,3,11,1005,3,4,8,125,1,0,8,1168
01044,BILLIAT,2717.391304347826,9,Low,2,1,48,1,0,0,7,0,0,1,60
01045,BIRIEUX,1893.114311431143,4,Low,1,0,22,0,0,0,5,0,0,0,28
01046,BIZIAT,1554.0893650378887,4,Low,2,0,90,1,0,0,15,0,0,0,108
01047,BLYES,2700,16,High,2,1,173,1,1,0,28,0,0,2,208
01049,"LA BOISSE",3505.855855855856,36,High,3,3,449,2,0,1,80,1,0,1,540
01050,BOISSEY,2269.3670212765956,4,Low,1,0,19,1,0,0,3,0,0,0,24
01052,BOULIGNEUX,3838.3838383838383,1,Low,1,0,34,0,0,0,9,0,0,0,44
01053,BOURG-EN-BRESSE,2156.9444444444443,1088,High,157,249,20112,87,36,27,2342,39,46,65,23160
01054,BOURG-SAINT-CHRISTOPHE,2723.5772357723577,25,High,1,0,75,1,0,0,15,0,0,0,92
01056,BOYEUX-SAINT-JEROME,1903.225806451613,1,Low,1,0,35,0,0,0,3,0,0,1,40
01057,BOZ,1973.512235817575,4,Low,1,0,48,1,1,0,9,0,0,0,60
01058,BREGNIER-CORDON,1018.1818181818181,1,Low,2,3,162,1,0,0,18,0,1,1,188
01060,BRENOD,1046.2962962962963,9,Low,2,2,110,1,0,0,9,0,0,0,124
01061,BRENS,3378.7393162393164,4,Low,1,1,109,1,0,0,24,0,0,0,136
01063,BRION,3059.259259259259,1,Low,1,0,76,1,0,0,9,0,0,1,88
01064,BRIORD,2428.7115839243497,4,Low,2,0,134,2,0,1,27,0,0,2,168
01065,BUELLAS,2593.75,25,High,1,1,184,1,0,0,28,1,0,0,216
01066,"LA BURBANCHE",1261.1940298507463,1,Low,1,0,18,0,0,0,1,0,0,0,20
01068,CERDON,1456.140350877193,1,Low,2,3,107,1,0,0,23,0,0,0,136
01071,CESSY,5670.103092783505,21,High,1,5,447,2,0,2,73,1,0,5,536
01072,CEYZERIAT,2504.587155963303,143,High,41,44,2871,18,0,3,344,5,0,18,3344
01073,CEYZERIEU,2435.714285714286,9,Low,2,2,118,1,0,0,24,0,0,1,148
01074,CHALAMONT,2446.808510638298,81,High,7,5,409,1,0,1,62,1,0,2,488
01075,CHALEINS,2981.967875443437,4,Low,1,4,190,1,0,0,35,0,0,1,232
01077,CHALLES-LA-MONTAGNE,1574.527027027027,1,Low,1,0,24,0,0,0,3,0,0,0,28
01078,CHALLEX,4663.875205030072,4,Low,1,0,70,1,0,0,11,0,0,1,84
01079,CHAMPAGNE-EN-VALROMEY,2102.415966386555,4,Low,5,2,168,2,0,0,8,1,0,2,188
01080,CHAMPDOR-CORCELLES,892.8571428571429,1,Low,2,1,62,1,0,0,6,0,0,0,72
01081,CHAMPFROMIER,3064.285714285714,1,Low,3,3,91,1,0,0,10,0,0,0,108
01083,CHANEINS,2266.9082125603863,16,High,2,1,159,1,0,0,32,0,0,1,196
01084,CHANOZ-CHATENAY,1457.4664817383264,4,Low,1,0,94,1,0,0,20,0,0,0,116
01087,CHARIX,2745.5743879472693,4,Low,1,0,47,1,0,0,2,0,0,1,52
01088,CHARNOZ-SUR-AIN,3222.222222222222,9,Low,1,0,82,1,0,0,17,0,0,3,104
01089,CHATEAU-GAILLARD,2336.842105263158,25,High,1,2,303,1,2,0,53,0,1,1,364
01090,CHATENAY,1704.1873124999997,1,Low,1,0,48,1,0,0,9,0,0,1,60
01092,CHATILLON-LA-PALUD,2868.607462402437,16,High,2,4,185,1,0,0,30,0,0,2,224
01093,CHATILLON-SUR-CHALARONNE,2829.5454545454545,121,High,46,45,3726,22,2,4,491,4,0,8,4348
01094,CHAVANNES-SUR-REYSSOUZE,4600,1,Low,1,0,43,2,0,0,6,0,0,0,52
01095,"NIVIGNE ET SURAN",2136.3636363636365,9,Low,2,2,128,1,0,0,14,0,0,1,148
01096,CHAVEYRIAT,2104.6642899584076,4,Low,3,2,117,1,0,0,24,0,0,1,148
01098,CHAZEY-BONS,2562.5,25,High,2,0,178,1,0,1,32,0,0,2,216
01099,CHAZEY-SUR-AIN,2649.5726495726494,49,High,1,1,208,1,0,0,29,0,0,0,240
01100,CHEIGNIEU-LA-BALME,2405.6524738813323,16,High,1,0,21,0,0,0,2,0,0,0,24
01101,CHEVILLARD,1725.2747252747254,1,Low,6,7,450,3,0,0,53,1,0,0,520
01102,CHEVROUX,1757.8947368421052,25,High,2,2,207,2,0,0,34,0,0,1,248
01103,CHEVRY,4137.006802721089,4,Low,5,2,265,4,0,0,33,1,0,2,312
01104,CHEZERY-FORENS,2500,1,Low,6,6,370,3,0,0,49,0,0,2,436
01105,CIVRIEUX,2917.506828362286,16,High,9,8,714,2,0,1,121,1,0,4,860
01106,CIZE,1164.6362388469456,2,Low,4,4,392,2,0,1,59,1,0,5,468
01107,CLEYZIEU,861.1111111111111,1,Low,3,2,311,1,0,0,48,1,0,2,368
01108,COLIGNY,1763.6363636363637,42,High,7,8,509,4,0,0,69,2,0,1,600
01109,COLLONGES,4240.753424657534,110,High,14,10,715,4,0,2,92,2,1,4,844
01112,CONDAMINE-LA-DOYE,2474.226804123711,1,Low,5,4,498,3,0,0,102,1,0,3,616
01113,CONDEISSIAT,1918.3673469387754,9,Low,6,8,479,3,1,0,69,1,0,1,568
01114,CONFORT,3908.268733850129,4,Low,6,9,512,4,0,1,73,1,0,2,608
01115,CONFRANCON,2522.174688057041,16,High,9,9,783,4,0,3,112,1,0,3,924
01116,CONTREVOZ,1738.4615384615386,9,Low,4,6,569,3,0,0,98,0,0,0,680
01117,CONZIEU,2746.153846153846,1,Low,3,5,463,2,0,0,90,1,1,3,568
01118,CORBONOD,3805.7368421052633,1,Low,7,8,432,4,0,1,65,1,0,2,520
01123,CORMORANCHE-SUR-SAONE,1900,9,Low,8,9,695,5,0,1,94,1,0,3,816
01124,CORMOZ,761.9047619047619,1,Low,12,14,630,6,0,1,76,2,0,3,744
01125,CORVEISSIAT,625,6,Low,14,11,821,5,1,3,102,3,0,0,960
01127,COURMANGOUX,1514.2857142857142,9,Low,10,12,872,6,0,1,123,2,0,2,1028
01133,CRESSIN-ROCHEFORT,3567.901234567901,1,Low,1,0,61,1,0,0,8,0,0,1,72
01134,CROTTET,1792.4528301886792,9,Low,1,2,167,1,0,0,31,0,0,2,204
01135,CROZET,3444.4444444444443,1,Low,1,1,219,1,0,0,39,0,0,3,264
01136,CRUZILLES-LES-MEPILLAT,2076.923076923077,9,Low,1,0,100,1,0,0,18,0,0,0,120
01138,CULOZ-BEON,2347.1264367816093,90,High,34,23,2028,17,0,5,268,3,1,13,2392
01139,CURCIAT-DONGALON,1857.142857142857,1,Low,1,0,56,1,0,0,6,0,0,0,64
01140,CURTAFOND,2218.1410454686047,4,Low,1,0,86,1,0,0,11,0,0,1,100
01141,CUZIEU,2435.8490566037735,4,Low,1,0,36,0,0,0,6,0,0,1,44
01142,DAGNEUX,3009.7087378640776,121,High,5,3,733,5,3,2,103,1,1,8,864
01143,DIVONNE-LES-BAINS,5369.446343130554,2,Low,24,29,2603,17,0,4,307,4,0,20,3008
01145,DOMPIERRE-SUR-VEYLE,2463.9804639804643,36,High,2,1,150,1,0,0,34,0,0,0,188
01146,DOMPIERRE-SUR-CHALARONNE,1800,9,Low,1,0,33,0,0,0,6,0,0,0,40
01147,DOMSURE,1800,9,Low,1,0,60,1,0,0,10,0,0,0,72
01148,DORTAN,2183.9080459770116,16,High,2,1,172,2,0,0,23,1,0,3,204
01149,DOUVRES,2095.808383233533,9,Low,1,0,75,1,0,0,11,0,0,0,88
01150,DROM,2254,1,Low,1,0,22,1,0,0,0,0,0,0,24
01151,DRUILLAT,5234.375,1,Low,1,0,94,1,0,0,15,0,0,1,112
