median_income,nb_households,median_price_m2,predicted_price,residual_error,insee_code,commune,dept_code
26720.0,4028.0,3741.217391304348,3718.970525175537,22.24686612881078,01249,MIRIBEL,01
27460.0,716.0,3607.6555023923447,3281.8133167569817,325.84218563536297,01250,MISERIEUX,01
26260.0,327.0,2500.0,2117.081218073468,382.9187819265321,01252,MOGNENEINS,01
27200.0,859.0,1867.6687396351576,2229.3052221604235,-361.6364825252658,01254,MONTAGNAT,01
30110.0,145.0,1489.6827586206898,2066.203362383948,-576.5206037632581,01257,MONTANGES,01
23590.0,2980.0,3416.378205128205,2883.6622214487247,532.7159836794804,01262,MONTLUEL,01
25970.0,1651.0,2605.2463409606266,2560.6896510229585,44.556689937668125,01263,MONTMERLE-SUR-SAONE,01
25180.0,409.0,2380.9523809523807,2199.5081496466055,181.44423130577525,01264,MONTRACOL,01
21010.0,1522.0,1654.1353383458647,1610.4885399346647,43.64679841120005,01265,MONTREAL LA CLUSE,01
22720.0,1256.0,1966.9473684210527,1919.2021257921206,47.74524262893215,01266,MONTREVEL-EN-BRESSE,01
18370.0,1398.0,1157.0048309178744,1186.364194451184,-29.359363533309534,01269,NANTUA,01
23200.0,686.0,2232.4590163934427,2003.4191736607745,229.03984273266815,01272,NEUVILLE-LES-DAMES,01
23060.0,747.0,2731.4814814814813,1737.2067479669859,994.2747335144954,01273,NEUVILLE-SUR-AIN,01
18340.0,9011.0,2182.5396825396824,2757.5085642027157,-574.9688816630332,01283,OYONNAX,01
26600.0,404.0,2273.9010989010985,2122.591308291024,151.30979061007474,01286,PARVES ET NATTAGES,01
24100.0,2786.0,1987.598235765838,2100.3206862731076,-112.72245050726974,01289,PERONNAS,01
23600.0,347.0,1335.7142857142858,1615.5431192543804,-279.8288335400946,01294,PEYRIEU,01
24570.0,227.0,2449.718045112782,1913.86537856134,535.8526665514419,01295,PEYZIEUX-SUR-SAONE,01
25060.0,1140.0,2225.791920953211,2472.0248285709945,-246.23290761778344,01301,POLLIAT,01
22810.0,1191.0,2047.244094488189,1938.126941468441,109.117153019748,01304,PONT-D AIN,01
21070.0,1095.0,1973.9440710314498,2060.4721219647895,-86.52805093333973,01305,PONT-DE-VAUX,01
25110.0,739.0,2312.0,2534.011007972612,-222.01100797261188,01314,PRIAY,01
24890.0,1629.0,2451.25,2465.991623801878,-14.741623801878177,01320,REPLONGES,01
29130.0,1858.0,3363.6363636363635,3359.229694351712,4.406669284651343,01322,REYRIEUX,01
25800.0,328.0,2190.4736842105262,2495.1843406286953,-304.71065641816904,01332,SAINT-ANDRE-DE-BAGE,01
26550.0,1429.0,3405.281668222845,3301.8619245182067,103.41974370463822,01333,SAINT-ANDRE-DE-CORCY,01
24070.0,492.0,2480.6201550387595,1948.6009775277455,532.019177511014,01336,SAINT-ANDRE-SUR-VIEUX-JONC,01
32220.0,603.0,3142.8571428571427,3049.33890693455,93.5182359225928,01339,SAINT-BERNARD,01
24170.0,737.0,2411.4285714285716,2160.117710006982,251.31086142158938,01343,SAINT-CYR-SUR-MENTHON,01
25580.0,2613.0,2401.2155353685775,2328.3561773312226,72.85935803735492,01344,SAINT-DENIS-LES-BOURG,01
23670.0,981.0,2253.521126760563,2197.419486658767,56.10164010179642,01345,SAINT-DENIS-EN-BUGEY,01
24190.0,347.0,2012.1951219512196,1887.4884545258892,124.70666742533035,01346,SAINT-DIDIER-D AUSSIAT,01
23560.0,1226.0,2033.649601410087,2077.7614310783397,-44.11182966825277,01348,SAINT-DIDIER-SUR-CHALARONNE,01
24380.0,1125.0,2343.75,2458.6567670467507,-114.9067670467507,01350,SAINT-ETIENNE-DU-BOIS,01
23960.0,643.0,2561.904761904762,2062.64629690779,499.2584649969717,01351,ST-ETIENNE-SUR-CHALARONNE,01
27390.0,385.0,2745.098039215686,2448.586137048299,296.51190216738723,01369,SAINT-JUST,01
25350.0,328.0,1279.0697674418604,1567.7114838522784,-288.641716410418,01375,SAINT-MARTIN-LE-CHATEL,01
